Portal,Latitude,Longitude,Discovered
Palco De Dança na Estação da Memória,-26.321984,-48.845891,Jurask (Enl) 
Grafitti Tesla,-26.318616,-48.840305,Gargamew (Enl) 
Grafitti Procopio,-26.321355,-48.83961,seaQuest (Enl) 
Igreja Assembléia De Deus,-26.325218,-48.836775,Forcalatente (Enl) 
Parquinho Central,-26.253667,-49.519282,AndrioRSB (Enl) 
Igreja Presbiteriana em Palmeira,-25.419842,-49.998681,MutiNeeR79 (Enl) 
Antiga Estação Ferroviária de Palmeira,-25.422465,-49.995109,MutiNeeR79 (Enl) 
Praça Hee Wing,-25.455001,-49.28546,babianco (Res) 
Pista De Skate Arthur Muller,-26.475403,-49.090339,PowManot (Enl) 
Arthur Muller,-26.47588,-49.08976,PowManot (Enl) 
Parquinho Arthur Muller,-26.475686,-49.090277,PowManot (Enl) 
Igreja Evangélica Renovada Missionária,-26.499029,-49.114014,S0matropina (Res) 
Previdência Social,-26.302177,-48.843495,Demoraes (Res) 
Correios - Centro,-26.303715,-48.847313,Whorz (Res) 
Torre Campanário da Igreja de São José e Santa Felicidade,-25.402258,-49.330757,p1m3nt4 (Res) 
Raposas,-25.403786,-49.325384,Hydraulinski (Enl) 
Grafitti Homem E Pássaros,-26.33606,-48.846745,Gargamew (Enl) 
BKR Festas E Eventos,-26.343819,-48.844586,Gargamew (Enl) 
Praça  Jardim de Mel,-25.426698,-49.311605,ClaudioCacaBR (Res) 
Mapa De Localização ,-25.431894,-49.312791,Lotthe (Res) 
Academia ao Ar Livre,-25.429562,-49.314569,ClaudioCacaBR (Res) 
Ecoestádio J Malucelli,-25.430788,-49.317842,ClaudioCacaBR (Res) 
Leões - Pier Parque Barigui ,-25.427514,-49.310317,ClaudioCacaBR (Res) 
Tucano,-25.45535,-49.29913,Vorkor (Enl) 
Grafite Garota,-25.418138,-49.290638,Kavoz (Res) 
Marcos de Joinville,-26.299752,-48.845571,Demoraes (Res) 
Escultura do Memorial de Curitiba ,-25.427618,-49.272974,edyuji (Enl) 
Fonte Diorama,-25.432049,-49.280853,edyuji (Enl) 
Correios Praça 29,-25.427619,-49.285928,Pittee (Res) 
Igreja Batista Memorial De Curitiba,-25.45659,-49.309007,VulturGryphus (Res) 
Jardinete Vera Vargas,-25.464875,-49.319607,Makenvrus (Enl) 
Escultura Arco Marco Historico,-25.382081,-49.149457,JayFranco2014 (Enl) 
Ponte Parque Sāo JOsè,-25.512601,-49.204174,toshikomura (Res) 
ARWEG,-26.478057,-49.056947,S0matropina (Res) 
Igreja Batista,-26.480599,-49.058427,S0matropina (Res) 
Igreja Assembléia De Deus,-26.483037,-49.060916,PowManot (Enl) 
Igreja Assembléia De Deus,-26.4821,-49.071969,S0matropina (Res) 
Igreja Pentecostal,-25.660363,-49.305482,CleyErz (Res) 
Museu ,-26.479356,-49.06375,Karakondjulo (Res) 
Parquinho Recreativa Argi,-26.506368,-49.105841,S0matropina (Res) 
Parquinho Infantil,-26.494747,-49.081526,LauraPaula (Enl) 
Grafites Do Mundo Psicodélico,-26.488857,-49.075257,S0matropina (Res) 
Violão Art Maior,-26.491878,-49.080915,S0matropina (Res) 
Parquinho ,-26.499188,-49.114812,S0matropina (Res) 
Praça Consul Nassib Abdo Abage,-25.422192,-49.278186,fjarana (Res) 
Moinho Do Chez Armold,-25.422223,-49.283896,Thundarr (Res) 
Monumento A Taras Chevtchenko -,-25.430604,-49.292504,Eric16 (Res) 
Conectora 5,-25.428967,-49.288342,josecandido (Enl) 
Placa Com Frase De Confúcio,-25.412951,-49.266191,kbloman (Enl) 
Jardinete Prof. João Régis Teixeira Jr.,-25.413902,-49.269811,LisiaTod (Res) 
Salão Paroquial 06 De Agosto,-26.106225,-49.800985,FJRmiiller (Enl) 
Teatro Municipal Da Música SJP,-25.532673,-49.207228,DuBeck (Res) 
Grafite Do Herois E O Robo,-25.528536,-49.20231,rsfrantz (Res) 
Igreja Resgate,-26.104868,-49.79698,FJRmiiller (Enl) 
Monumento Construção Viaduto,-26.223965,-49.401242,ElrikAhryman (Res) 
Monumento Bíblia De Pedra,-26.221328,-49.40347,ElrikAhryman (Res) 
Igreja Universal,-25.439134,-49.186941,machucasjp (Enl) 
Monumento Rotary Internacional,-26.110734,-49.804565,FJRmiiller (Enl) 
Posto De Guarda Vidas De Perequê,-25.756028,-48.503326,moog00 (Res) 
O Fado,-26.253833,-49.383151,RSarandiel (Enl) 
Segredos,-26.247642,-49.382965,RSarandiel (Enl) 
Casa Do Imigrante,-26.245167,-49.381657,Barghyst (Res) 
Igreja,-26.257682,-49.377005,Barghyst (Res) 
Ginásio De Esportes Do Sindicato,-26.255436,-49.383891,Barghyst (Res) 
Placa Parque Gomm,-25.44201,-49.291557,quequeisso (Res) 
Estátua de Buda Jingle,-25.441456,-49.297328,edyuji (Enl) 
Santa Terezinha Do Menino Jesus ,-25.444284,-49.286653,edyuji (Enl) 
Os Olhos São Janelas ,-25.424971,-49.271294,Mstnz (Enl) 
Crânio ,-25.43151,-49.262152,masqmerdah (Res) 
Escola De Música ,-26.251268,-49.525214,SrRiske (Res) 
Pista de Patinação Barigui,-25.42463,-49.30827,ClaudioCacaBR (Res) 
Painel de Azulejos,-25.431312,-49.308301,ClaudioCacaBR (Res) 
Centro de Eventos Expo Barigui,-25.427754,-49.314456,ClaudioCacaBR (Res) 
UNINTER - Centro Universitário Internacional ,-25.434428,-49.311733,ClaudioCacaBR (Res) 
Sede - SINDISERV,-26.115295,-49.796803,CleyErz (Res) 
Grafite Sorveteiro Maluco,-25.490136,-49.271606,MrStoco (Enl) 
Espelho d'água Helbor Dual,-26.300286,-48.853412,Demoraes (Res) 
Centro De Cultura Inglesa,-26.298181,-48.849472,LauraPaula (Enl) 
Biblioteca Pública Municipal,-26.474484,-48.995428,LauraPaula (Enl) 
